Code aeag;code Sandre;Nom;
024;;Réseau qualité rivière PAT du SMDE24;
030;0500000001;R.C.A. (A.G.);
031;;Suivi prises AEP;
039;;Suivi Uhabia;
040;;Suivi lot;
041;0500000212;C. Riv. Aveyron;
042;0500000242;C. Riv. Tarn;
043;0500000243;C. Riv. Cérou;
045;0500000245;C. Riv. Save;
046;0500000246;C. Riv. Cère amont;
048;0500000248;C. Riv. Célé;
049;0500000249;C. Riv. Nives;
051;0500000251;C. Riv. Viaur;
052;0500000252;C. Riv. Rance;
053;0500000253;C. Riv. Gave de Pau;
054;0500000254;C. Riv. Haut Adour;
055;0500000255;C.Riv. Céou;
056;0500000256;C Riv. Sorgues - Dourdou;
057;0500000257;C Riv. Haute Dordogne;
058;0500000258;C Riv. Bourret-Boudigau;
059;;C Riv. Lot aval;
060;;Etude particulière;
061;;Suivi PCB;
062;;Etude particulière AQUITAINE;
063;;Retjons - Luzou;
064;;BV Tarentaine;
065;;BV Chavanon;
067;;Etude Bassin de Decazeville;
070;0500000070;UNIMA;
071;0500000881;Réseau Vèbre et Durenque;
072;0500000272;Réseau Gijou;
073;0500000273;SAGE Etangs Littoraux Born et Buch;
074;0500000274;Réseau Bassin de La Doue;
075;;SAGE Célé;
076;;Réseau des Cévennes;
077;;Réseau SICOVAL;
078;;Etude BV Grolle;
080;0500000275;Contrat Agglo;
090;;Plan Action Territorial;
099;0500000099;Réseau de Référence Pérenne;
100;0500000075;Site de référence;
101;0500000101;Réseau Phytosanitaire;
110;0500000073;Contrôle de surveillance;
111;0600000190;RCD11;
112;0500000112;RCD 12;
115;0500000115;RCD 15;
116;0500000116;RCD 16;
117;0500000117;RCD 17;
119;0500000119;RCD 19;
120;0500000074;Contrôle Opérationnel;
121;;RNAOE 2021;
124;0500000124;RCD 24;
130;;RCD 30;
131;;RCD 31;
132;0500000132;RCD 32;
133;0500000133;RCD 33;
140;0500000140;RCD 40;
146;0500000146;RCD 46;
147;0500000147;RCD 47;
148;0500000148;RCD 48;
164;0500000164;RCD 64;
179;0400000779;RCD 79;
181;0500000181;RCD 81;
182;0500000182;RCD 82;
187;0400000787;RCD 87;
192;0500000192;Réseau Serène;
200;0500000100;Réseau Nitrates;
201;;ACTION TEST AUVEZERE;
202;;DEFI AUSSONNELLE;
210;0500000210;TPME;
216;0500000216;RI CHARENTE;
233;;Jalles;
264;0500000205;CCSPB;
265;;Pays de Neste;
287;;Réseau PNRPL;
309;;Fédération de Pêche 09;
315;;Fédération de Pêche 15;
317;;Fédération de Pêche 17;
332;;Fédération de Pêche 32;
333;;Fédération de Pêche 33;
346;;Fédération de Pêche Lot;
347;;Fédération de Pêche 47;
382;;Fédération de Pêche 82;
400;0500000083;RSDE;
500;;réseau contrôle de surveillance plans d'eau;
510;;réseau contrôle opérationnel plans d'eau;
520;;réseau complémentaire plans d'eau fédérations de pêche;
530;;réseau complémentaire plans d'eau CG31;
540;;réseau complémentaire plans d'eau Géolandes;
550;;réseau complémentaire plans d'eau CG24;
560;;réseau complémentaire AEAG plans d'eau;
800;;Réseau de stations ONEMA;
AEAG-01-Q;;Réseau Qualité AEAG (SS MO);
CD47-01-Q;;Réseau qualité RCS du Lot-et-Garonne;
CD47-02-Q;;Réseau qualité départemental du Lot-et-Garonne;
CG24-01-Q;;Réseau Patrimonial Qualité de la Dordogne;
CG24-02-Q;;Réseau Qualité Départemental de la DORDOGNE;
CG24-03-Q;;Réseau Qualité Opérationnel  de la Dordogne;
CG31-02-Q;;Réseau qualité départemental de Haute-Garonne;
CG32-01;;Réseau quantité DCE du GERS;
CG32-01-Q;;Réseau de surveillance qualité du Gers;
CG32-03-Q;;Réseau Qualité Opérationel du GERS;
CG33-01-Q;;Réseau Qualité RCS  Gironde;
CG33-02-Q;;Réseau Qualité Départemental Gironde;
CG33-03-Q;;Réseau Qualité opérationnel  Gironde;
CG40-01-Q;;Réseau Qualité Patrimonial des Landes;
CG40-02-Q;;Réseau Qualité Départemental des Landes;
CG40-03-Q;;Réseau Qualité Opérationnel des Landes;
CG46-01-Q;;Réseau Patrimonial Qualité du LOT;
CG46-02-Q;;Réseau Opérationnel Qualité du Lot;
CG46-03-Q;;Réseau qualité départemental du Lot;
CG46-04-Q;;Réseau PAT ESO Qualité du Lot;
CG64-01;;Réseau Quantité DCE des Pyrénées Atlantiques;
CG64-01-Q;;Réseau Qualité patrimonial des Pyrénées Atlantiques;
CG64-02;;Réseau Quantité Complémentaire des Pyrénées Atlantiques;
CG64-02-Q;;Réseau départemental Qualité des Pyrénées Atlantiques;
CG64-03-Q;;Réseau Qualité Opérationel des Pyrénées Atlantiques;
ME5019-Q;;Réseau Qualité Opérationnel ME 5019;
POC-01-Q;;Réseau Qualité RCS Poitou-Charentes;
POC-02-Q;;Réseau Qualité Régional Poitou-Charentes;
POC-03-Q;;Réseau Qualité Opérationnel  Poitou Charentes;
PRCQ-02-Q;;Réseau Qualité Complémentaire PNRCQ;
PRGC-01-Q;;Réseau Qualité Patrimonial Parc des Grands Causses;
PRGC-02-Q;;Réseau Complémentaire Qualité Parc des Grands Causses;
RE-SOU;;Re-sources;
RIAECaz-02-Q;;Réseau Qualité Complémentaire RIAE Cazères-Couladère;
SDE17-03-Q;;Réseau Qualité Complémentaire de la Charente-Maritime;
SMAEP4B-03-Q;;Réseau Qualité Opérationnel du SMAEP4B;
SMDE24-02-Q;;Réseau qualité PAT du SMDE24;
SMNEPau-04-Q;;Réseau qualité du SM du Nord-Est de Pau;
