Code;Libelle;Type;Commune;Cours d'eau;Masse d'eau;
05174000;La Garonne en amont de l'Ariège;STQ;Portet sur Garonne;La Garonne;La Garonne du confluent de l'Arize au confluent de l'Ariège;
05120035;Le Rieumet à Montricoux;STQ;Montricoux;Ruisseau de Rieumet;Ruisseau de Rieumet;
05091282;Le ruisseau noir au niveau de Saint Cirques;STQ;Saint Cirgues;Le Ruisseau Noir;Le Ruisseau Noir;
05206500;Le Gave d'Issaux en amont de Lourdios-Ichere;STQ;Osse en Aspe;Gave de Lourdios;Le Gave de Lourdios (d'Issaux) de sa source au confluent du Gave d'Aspe;
05068020;Le Ruisseau du Peyret;STQ;Sexcles;Ruisseau du Peyret;Ruisseau du Peyret;
06843X0003/SOURCE;BRESDON - Fontaine Charlemagne (forage);QZ;Bresdon;;Calcaires du jurassique supérieur du BV Charente secteurs hydro r0, r1, r2, r3, r5;
08085X0023/P;ALLAS-LES-MINES - Les Islots;QZ;Allas les Mines;;Alluvions de la Dordogne;
05119070;Le Petit Lembous à St Arthémie;STQ;Molières;Le Petit Lembous;Le Petit Lembous de sa source au confluent du Lemboulas;
05085545;La Rètge au niveau de Boudy de Beauregard;STQ;Boudy de Beauregard;La Rètge;La Rètge;
05119080;Le Lemboulas au Pont de Bonnet;STQ;Molières;Le Lemboulas;Le Lemboulas de sa source au confluent du Petit Lembous;
09022X0009/F;SERIGNAC-SUR-GARONNE - Billeou, station de pompage;QZ;Sérignac sur Garonne;;Calcaires du jurassique moyen et supérieur captif;
05126068;L'Alze à Rignac;STQ;Rignac;l'Alze;L'Alze;
05027010;Le Gestas à St Germain du Puch;STQ;Saint Germain du Puch;Le Gestas;Le Gestas de sa source à la Dordogne;
10295X0003/ERH;MOUMOUR - Source Gouats;QZ;Moumour;;Alluvions du gave d'Oloron et du Saison;
09308X0118/F;LA BASTIDE SAINT PIERRE- Garouillet;QZ;Labastide Saint Pierre;;Alluvions de la Garonne moyenne et du Tarn aval, la Save, l'Hers mort et le Girou;
08612X0205/BNOIR1;NASBINALS - Le Bois Noir 1;QZ;Nasbinals;;Volcanisme Aubrac;
05125420;La Cône en amont de la Selve;STQ;Selve;Le Fouquet;Le Fouquet de sa source au confluent du Giffou;
05163800;Le Canal du Midi au niveau de Castanet;STQ;Castanet Tolosan;Canal du Midi;Canal du Midi;
05031100;La Viveronne à Chalais;STQ;Chalais;La Viveronne;La Viveronne de sa source au confluent de la Tude;
06833X0002/F;ASNIERES-LA-GIRAUD - Les Fontaines;QZ;Asnières la Giraud;;Calcaires du jurassique supérieur du BV Boutonne secteur hydro r6;
05068120;L'Etze au niveau de St Illide;STQ;Saint Illide;l'Etze;L'Etze de sa source au barrage d'Enchanet;
05042080;L'Auvézère à Ségur-le-Chateau;STQ;Ségur le Château;l'Auvézère;L'Auvézère du confluent du Moulin de Chatenet (inclus) au confluent du Puy Roudeaux;
05077850;Le Baupomme à St Martin de Sescas;STQ;Saint Martin de Sescas;Le Baupommé;Le Baupommé;
05004000;La Boutonne en amont de St-Jean d'Angély;STQ;Saint Julien de l'Escap;La Boutonne;La Boutonne du confluent de la Belle au confluent de la Nie;
05067000;La Dordogne à Brivezac;STQ;Brivezac;La Dordogne;La Dordogne du barrage d'Argentat au confluent de la Cère;
05101000;La Colagne à Marvejols (Pont de la N88 à Moriés);STQ;Bourgs sur Colagne;La Colagne;La Colagne du confluent du Coulagnet au confluent du Lot;
O9215023;Barrage du Brayssou;STQL;Tourliac;;Retenue du Brayssou;
09498X0073/F;SAINT PAUL LES DAX - Loustalot - D15;QZ;Saint Paul lès Dax;;Calcaires et faluns de l'aquitanien-burdigalien (miocène) captif;
07318X0064/F;JONZAC - Beaulieu F2;QZ;Jonzac;;Calcaires, grés et sables de l'infra-cénomanien/cénomanien captif nord-quitain;
05001800;L'Arnoult en amont de Pont l'Abbé d'Arnoult;STQ;Pont l'Abbé d'Arnoult;l'Arnoult;L'Arnoult de sa source au confluent de la Charente;
05234040;Le Layza à Hères;STQ;Hères;Ruisseau de Layza;Le Layza de sa source au confluent du Louet;
05117430;Le Ruisseau de Gasques à Gasques;STQ;Gasques;Ruisseau de Gasques;Ruisseau de Gasques;
05088500;Le Lot au niveau de Luzech;STQ;Luzech;Le Lot;Le Lot du confluent du Célé au confluent de la Lémance;
10046X0089/P;ARTIX - P1;QZ;Artix;;Alluvions du gave de Pau;
05129071;Le Tescou à Saint-Nauphary;STQ;Saint Nauphary;Le Tescou;Le Tescou de sa source au confluent du Tarn;
O7--3003;Barrage de Grandval;STQL;Val d'Arcomie;;Retenue de Grandval;
06837X0082/F;ST-CEZAIRE - Chez Veillon;QZ;Saint Bris des Bois;;Calcaires, grés et sables de l'infra-cénomanien/cénomanien captif nord-quitain;
05198750;La Nive à l'amont d'Ustaritz;STQ;Ustaritz;La Nive;La Nive du confluent du Latsa au confluent de l'Adour;
05138000;Le Thoré à St-Amant Soult;STQ;Saint Amans Soult;Le Thoré;Le Thoré du confluent de la Truite au confluent de l'Arn;
05084900;Le Lot à Ste-Livrade-sur-Lot;STQ;Sainte Livrade sur Lot;Le Lot;Le Lot du confluent de la Lémance au confluent de la Garonne;
05033350;La Lizonne au niveau de Ste Croix de Mareuil;STQ;Sainte Croix de Mareuil;La Lizonne;La Lizonne de sa source au confluent de la Belle (incluse);
S4285003;Etang de Moliets;STQL;Moliets et Maa;;;
05022248;La Tiarde au niveau de Saint Sulpice de Ruffec;STQ;Saint Sulpice de Ruffec;La Tiarde;La Tiarde;
05238475;La Bidassoa an niveau d'Ahendaye;STQ;Hendaye;Non nommé;;
07096X0021/FORGE;MOUTHIERS-SUR-BOEME - Source de Forge;QZ;Mouthiers sur Boëme;;Calcaires, grés et sables du turonien-coniacien libre BV Charente-Gironde;
05102000;Le Lot à l'aval de Mende;STQ;Balsièges;Le Lot;Le Lot de sa source au confluent du Bramont;
05069970;La Méouzette au niveau de Laroche Pres Feyt;STQ;Laroche près Feyt;La Méouzette;La Méouzette de l'étang de Méouze au confluent du Chavanon;
06832X0020/F;JUICQ - Etray (forage);QZ;Juicq;;Calcaires, grés et sables de l'infra-cénomanien/cénomanien captif nord-quitain;
05069222;Le Tact en aval de Marchal;STQ;Champs sur Tarentaine Marchal;Le Tact;Le Tact;
