"Code Sandre 
du paramètre";Libellé du paramètre;Fraction support à analyser;"Limite 
quantification
(LQ)";"Libellé
Unité";;
1670;Métazachlore;Eau brute;0,005;µg/l;;
1383;Zinc;Phase aqueuse de l'eau (filtrée, centrifugée...);2;µg/l;;
1369;Arsenic;Phase aqueuse de l'eau (filtrée, centrifugée...);0,25;µg/l;;
1392;Cuivre ;Phase aqueuse de l'eau (filtrée, centrifugée...);0,5;µg/l;;
1389;Chrome;Phase aqueuse de l'eau (filtrée, centrifugée...);1;µg/l;;
1136;Chlortoluron;Eau brute;0,03;µg/l;;
1105;Aminotriazole;Eau brute;0,02;µg/l;;
1882;Nicosulfuron;Eau brute;0,01;µg/l;;
1667;Oxadiazon;Eau brute;0,03;µg/l;;
1907;AMPA;Eau brute;0,03;µg/l;;
1506;Glyphosate;Eau brute;0,03;µg/l;;
1113;Bentazone;Eau brute;0,03;µg/l;;
1212;2,4 MCPA;Eau brute;0,03;µg/l;;
1101;Alachlore;Eau brute;0,03;µg/l;;
1458;Anthracène;Eau brute;0,01;µg/l;;
1107;Atrazine;Eau brute;0,01;µg/l;;
1114;Benzène;Eau brute;1;µg/l;;
2915;BDE100;Eau brute;0,001;µg/l;;
2912;BDE153;Eau brute;0,001;µg/l;;
2911;BDE154;Eau brute;0,001;µg/l;;
2920;BDE28;Eau brute;0,001;µg/l;;
2919;BDE47;Eau brute;0,001;µg/l;;
2916;BDE99;Eau brute;0,001;µg/l;;
1388;Cadmium et ses composés;Phase aqueuse de l'eau (filtrée, centrifugée...);0,05;µg/l;;
1276;Tétrachlorure de carbone;Eau brute;0,03;µg/l;;
1955;Chloroalcanes C10-C13;Eau brute;0,15;µg/l;;
1464;Chlorfenvinphos;Eau brute;0,03;µg/l;;
1083;Chlorpyrifos (éthylchlorpyrifos);Eau brute;0,01;µg/l;;
1103;Aldrine;Eau brute;0,001;µg/l;;
1173;Dieldrine;Eau brute;0,001;µg/l;;
1181;Endrine;Eau brute;0,001;µg/l;;
1207;Isodrine;Eau brute;0,001;µg/l;;
7146;DDT total (Somme du DDDpp', DDEpp', DDTop', DDTpp');Eau brute;0,0075;µg/l;;
1144;DDDpp';Eau brute;0,002;µg/l;;
1146;DDEpp';Eau brute;0,002;µg/l;;
1147;DDTop';Eau brute;0,002;µg/l;;
1148;para-para-DDT;Eau brute;0,002;µg/l;;
1161;1,2-dichloroéthane;Eau brute;2;µg/l;;
1168;Dichlorométhane;Eau brute;5;µg/l;;
6616;Di(2-ethylhexyle)-phthalate (DEHP);Eau brute;0,2;µg/l;;
1177;Diuron;Eau brute;0,03;µg/l;;
1743;Endosulfan;Eau brute;0,002;µg/l;;
1178;Endosulfan A;Eau brute;0,001;µg/l;;
1179;Endosulfan Béta;Eau brute;0,001;µg/l;;
1191;Fluoranthène;Eau brute;0,01;µg/l;;
1199;Hexachlorobenzène;Eau brute;0,003;µg/l;;
1652;Hexachlorobutadiène;Eau brute;0,03;µg/l;;
5537;Hexachlorocyclohexane;Eau brute;0,004;µg/l;;
1201;HCH bêta;Eau brute;0,001;µg/l;;
1202;HCH delta;Eau brute;0,001;µg/l;;
1200;HCH Alpha;Eau brute;0,001;µg/l;;
2046;HCH Epsilon;Eau brute;0,001;µg/l;;
1203;HCH Gamma (Lindane);Eau brute;0,001;µg/l;;
