"Code Sandre 
du paramètre";Libellé du paramètre;Fraction support à analyser;"Limite 
quantification souhaitée
(LQ)";"Libellé
Unité"
1670;Métazachlore;Eau brute;0,005;µg/l
1136;Chlortoluron;Eau brute;0,03;µg/l
1105;Aminotriazole;Eau brute;0,02;µg/l
1882;Nicosulfuron;Eau brute;0,01;µg/l
1667;Oxadiazon;Eau brute;0,03;µg/l
1907;AMPA;Eau brute;0,03;µg/l
1506;Glyphosate;Eau brute;0,03;µg/l
1113;Bentazone;Eau brute;0,03;µg/l
1212;2,4 MCPA;Eau brute;0,03;µg/l
1814;Diflufenicanil;Eau brute;0,003;µg/l
1359;Cyprodinil;Eau brute;0,01;µg/l
1877;Imidaclopride;Eau brute;0,02;µg/l
1206;Iprodione;Eau brute;0,03;µg/l
1141;2,4D;Eau brute;0,03;µg/l
1951;Azoxystrobine;Eau brute;0,03;µg/l
1584;Biphényle;Eau brute;0,05;µg/l
5526;Boscalid;Eau brute;0,03;µg/l
1796;Métaldéhyde;Eau brute;0,03;µg/l
1694;Tebuconazole;Eau brute;0,03;µg/l
1474;Chlorprophame;Eau brute;0,03;µg/l
1234;Pendiméthaline;Eau brute;0,005;µg/l
1209;Linuron;Eau brute;0,03;µg/l
1713;Thiabendazole;Eau brute;0,03;µg/l
1101;Alachlore;Eau brute;0,03;µg/l
1107;Atrazine;Eau brute;0,01;µg/l
1464;Chlorfenvinphos;Eau brute;0,03;µg/l
1083;Chlorpyrifos (éthylchlorpyrifos);Eau brute;0,01;µg/l
1103;Aldrine;Eau brute;0,001;µg/l
1173;Dieldrine;Eau brute;0,001;µg/l
1181;Endrine;Eau brute;0,001;µg/l
1207;Isodrine;Eau brute;0,001;µg/l
1177;Diuron;Eau brute;0,03;µg/l
1743;Endosulfan;Eau brute;0,002;µg/l
1208;Isoproturon;Eau brute;0,02;µg/l
1263;Simazine;Eau brute;0,01;µg/l
1289;Trifluraline;Eau brute;0,01;µg/l
1172;Dicofol;Eau brute;0,01;µg/l
2028;Quinoxyfène;Eau brute;0,03;µg/l
1688;Aclonifène;Eau brute;0,03;µg/l
1119;Bifénox;Eau brute;0,01;µg/l
1140;Cyperméthrine;Eau brute;0,02;µg/l
1170;Dichlorvos;Eau brute;0,01;µg/l
1197;Heptachlore;Eau brute;0,01;µg/l
1748;Heptachlore époxyde exo cis;Eau brute;0,01;µg/l
1129;Carbendazime;Eau brute;0,005;µg/l
1149;Deltaméthrine;Eau brute;0,001;µg/l
1221;Métolachlore;Eau brute;0,01;µg/l
1414;Propyzamide;Eau brute;0,01;µg/l
1700;Fenpropidine;Eau brute;0,03;µg/l
1709;Piperonyl butoxyde;Eau brute;0,005;µg/l
1903;Acétochlore;Eau brute;0,005;µg/l
6853;Métolachlore OXA;Eau brute;0,01;µg/l
6854;Métolachlore ESA;Eau brute;0,01;µg/l
1108;Atrazine déséthyl;Eau brute;0,01;µg/l
1109;Atrazine déisopropyl;Eau brute;0,01;µg/l
1125;Bromoxynil;Eau brute;0,03;µg/l
1175;Diméthoate;Eau brute;0,03;µg/l
1210;Malathion;Eau brute;0,005;µg/l
1230;Ométhoate;Eau brute;0,0005;µg/l
1253;Prochloraz;Eau brute;0,001;µg/l
1261;Pyrimiphos-méthyl;Eau brute;0,03;µg/l
1268;Terbuthylazine;Eau brute;0,02;µg/l
1480;Dicamba;Eau brute;0,03;µg/l
1528;Pirimicarbe;Eau brute;0,03;µg/l
1586;Dichloroaniline-3,4;Eau brute;0,015;µg/l
1675;Flurochloridone;Eau brute;0,02;µg/l
1678;Diméthénamide;Eau brute;0,03;µg/l
1744;Epoxiconazole;Eau brute;0,03;µg/l
1830;Atrazine déisopropyl déséthyl;Eau brute;0,03;µg/l
1892;Rimsulfuron;Eau brute;0,005;µg/l
1929;1-(3,4-dichlorophenyl)-3-methyl-uree;Eau brute;0,02;µg/l
1945;Isoxaflutole;Eau brute;0,02;µg/l
2023;Flumioxazine;Eau brute;0,03;µg/l
3159;Atrazine 2-hydroxy-desethyl;Eau brute;0,03;µg/l
1130;Carbofuran;Eau brute;0,007;µg/l
1214;Mécoprop;Eau brute;10;µg/l
